,nif
0,53600954Y
1,96938966S
2,75156741D
3,35182981L
4,82940565N
5,60533901V
6,52030628M
7,74085247Q
8,80161990K
9,19584959E
10,75231457K
11,55920748C
12,92841522K
13,39488259L
14,44195874V
15,85504548R
16,37158970D
17,39829372L
18,25792165B
19,35356788S
20,76178910N
21,99539572B
22,58851507G
23,42108938D
24,30631932A
25,64552086X
26,71199217A
27,35410046M
28,72195894K
29,77958346F
30,89186003F
31,99332988J
32,89277166K
33,52664235P
34,19719215G
35,46280717W
36,65291888V
37,66546341G
38,84794090J
39,93392517M
40,29447211N
41,60108202W
42,18525009G
43,31450247R
44,30022556N
45,96636563Q
46,86676743R
47,36284596A
48,40150856D
49,14857620B
50,58695703W
51,62681331Y
52,66099812C
53,94093271H
54,92241190N
55,70787546D
56,98053140T
57,31917370V
58,20216646Z
59,95017914S
60,83391820F
61,14311972S
62,10300906B
63,65460937Q
64,12475351J
65,98323587J
66,76979442Y
67,11785192S
68,26922995T
69,67219425Q
70,66075618E
71,19645588T
72,10395030L
73,28143652R
74,21781941K
75,29589610H
76,11874000C
77,42273637M
78,36191304E
79,18463571E
80,61445965Q
81,47476199J
82,31328244J
83,23318862J
84,98581749T
85,73463865W
86,13680189L
87,97818205X
88,12918195S
89,29451111W
90,81228705L
91,21141896C
92,67539407E
93,54310618M
94,92980750F
95,19394061R
96,84758009L
97,79229520V
98,80999923H
99,69508905F
100,94396387V
101,42865654W
102,54937713M
103,35656960Z
104,14567946E
105,39003809H
106,99064751W
107,98151335P
108,74958354C
109,36711980R
110,41802056Q
111,34853971R
112,92606796X
113,72997611G
114,47752290N
115,55081882X
116,30187222K
117,17963854A
118,62231004L
119,36013414Z
120,36789597Q
121,82465809E
122,88297892H
123,41594491A
124,61201154V
125,88266783M
126,36288035S
127,53944861V
128,27687639D
129,20694535D
130,45843158H
131,87264356X
132,34274565B
133,63797527N
134,20442875S
135,54239132A
136,33528460A
137,28001173F
138,84435940L
139,14947924V
140,75838119N
141,60264092K
142,72571499J
143,88268296T
144,35195850P
145,26734355Y
146,32030339X
147,25782890M
148,77478730X
149,87905737J
150,26956136K
151,68185675J
152,71229848K
153,36273964C
154,55486708J
155,24188199L
156,10939561W
157,96492968X
158,79285262F
159,81925837K
160,12826742X
161,38031133N
162,75571647H
163,22864046E
164,63120028R
165,20327545F
166,21653602E
167,78204605M
168,58839072N
169,20448244W
170,81958008S
171,97791876Q
172,51075794Q
173,93242474Z
174,97562134K
175,91519048R
176,60775627J
177,23998931H
178,88224893K
179,73234386V
180,97018772B
181,83602014G
182,56918085P
183,17147486C
184,17801446K
185,96188076Y
186,86857653Q
187,16735520F
188,43317129X
189,59301673Z
190,11034930J
191,16149489Q
192,31737818A
193,66551812R
194,94247890P
195,14120473Z
196,37495276D
197,72768207W
198,27632396N
199,20365879T
200,82062281Y
201,41657522Z
202,15693455A
203,34495692Q
204,37233878Y
205,25959626D
206,85836461R
207,47418725Q
208,70908626V
209,90103839M
210,50398450E
211,65248870D
212,35369850J
213,75365186M
214,31179350K
215,65711348A
216,48066892C
217,17520645G
218,16473227Y
219,67048954K
220,14896356S
221,47005397K
222,70599539G
223,39428317S
224,75983366Z
225,41569074R
226,25934386T
227,18846139P
228,83962809K
229,21432014Q
230,97441757A
231,63535454R
232,94760589Z
233,26941508K
234,79704781Y
235,52871870E
236,70874873M
237,18728047K
238,96456978S
239,48779828W
240,57157348W
241,70361579W
242,22613511A
243,49638843J
244,19094464W
245,43507753X
246,98802431C
247,36689760E
248,63588685X
249,95584172J
250,38395929M
251,42941002W
252,52239744M
253,39916640W
254,47041590N
255,64574820C
256,47125887Z
257,78395417D
258,64693637L
259,84853544N
260,59085127J
261,26631466L
262,20144184W
263,30525829E
264,88496493Z
265,91612700C
266,18054485Z
267,20732913T
268,98561279T
269,51860238E
270,98486188G
271,98414857L
272,11084293H
273,80084651P
274,18932576B
275,74216804J
276,84755112C
277,58342214T
278,48849828J
279,22895224N
280,55929326L
281,85691155D
282,76688261M
283,82224164S
284,11909791T
285,18347903K
286,89423583C
287,94401500R
288,26727880V
289,22343343Q
290,44588142C
291,79955186X
292,89424731H
293,68679062G
294,34802177A
295,14149506K
296,54832496J
297,80983599R
298,24805069Y
299,75891318N
