,PF,modelo,PJ
0,35356788S,159,6336990F
1,35356788S,189,1173158C
2,35356788S,181,3915254X
3,96938966S,159,6336990F
4,96938966S,189,1173158C
5,96938966S,11,7527435H
6,96938966S,187,8455054R
7,96938966S,159,6336990F
8,25792165B,159,6336990F
9,25792165B,189,1173158C
10,39829372L,159,6336990F
11,39829372L,189,1173158C
12,39829372L,190,5687119R
13,37158970D,159,6336990F
14,37158970D,189,1173158C
15,37158970D,187,8455054R
16,85504548R,159,6336990F
17,85504548R,189,1173158C
18,85504548R,190,5687119R
19,75156741D,187,8455054R
20,75156741D,188,8827294D
21,75156741D,188,8827294D
22,44195874V,159,6336990F
23,44195874V,189,1173158C
24,44195874V,189,1173158C
25,44195874V,171,6108974J
26,80161990K,159,6336990F
27,80161990K,189,1173158C
28,80161990K,189,1173158C
29,80161990K,5,8995679B
30,80161990K,189,1173158C
31,39488259L,159,6336990F
32,39488259L,189,1173158C
33,39488259L,159,6336990F
34,39488259L,171,6108974J
35,75231457K,159,6336990F
36,75231457K,189,1173158C
37,75231457K,187,8455054R
38,75231457K,187,8455054R
39,75231457K,190,5687119R
40,92841522K,159,6336990F
41,92841522K,189,1173158C
42,92841522K,196,5004389A
43,92841522K,181,3915254X
44,55920748C,159,6336990F
45,55920748C,189,1173158C
46,55920748C,189,1173158C
47,19584959E,159,6336990F
48,19584959E,189,1173158C
49,52030628M,159,6336990F
50,52030628M,189,1173158C
51,52030628M,171,6108974J
52,82940565N,159,6336990F
53,82940565N,189,1173158C
54,82940565N,181,3915254X
55,35182981L,159,6336990F
56,35182981L,189,1173158C
57,35182981L,180,7295647R
58,53600954Y,159,6336990F
59,53600954Y,189,1173158C
60,53600954Y,190,5687119R
61,53600954Y,171,6108974J
62,21781941K,159,6336990F
63,21781941K,189,1173158C
64,21781941K,187,8455054R
65,21781941K,196,5004389A
66,21781941K,181,3915254X
67,28143652R,159,6336990F
68,28143652R,189,1173158C
69,28143652R,11,7527435H
70,28143652R,188,8827294D
71,30022556N,11,6304936S
72,30022556N,188,8827294D
73,30022556N,159,6336990F
74,10395030L,159,6336990F
75,10395030L,189,1173158C
76,10395030L,11,3113560G
77,10395030L,181,3915254X
78,10395030L,189,1173158C
79,10395030L,5,8995679B
80,84794090J,159,6336990F
81,84794090J,189,1173158C
82,84794090J,187,8455054R
83,84794090J,181,3915254X
84,19645588T,159,6336990F
85,19645588T,189,1173158C
86,19645588T,11,3113560G
87,72195894K,11,1920759Y
88,72195894K,189,1173158C
89,66075618E,159,6336990F
90,66075618E,189,1173158C
91,66075618E,11,3113560G
92,66075618E,111,2023440S
93,66075618E,198,6272000S
94,66075618E,189,1173158C
95,67219425Q,159,6336990F
96,67219425Q,189,1173158C
97,67219425Q,11,7527435H
98,67219425Q,187,8455054R
99,67219425Q,188,8827294D
100,26922995T,11,2023440S
101,26922995T,159,6336990F
102,20216646Z,159,6336990F
103,20216646Z,189,1173158C
104,20216646Z,11,3113560G
105,20216646Z,188,8827294D
106,20216646Z,187,8455054R
107,20216646Z,190,5687119R
108,11785192S,159,6336990F
109,11785192S,189,1173158C
110,11785192S,11,6304936S
111,11785192S,111,3113560G
112,11785192S,187,8455054R
113,70787546D,159,6336990F
114,70787546D,180,7295647R
115,76979442Y,159,6336990F
116,76979442Y,189,1173158C
117,76979442Y,11,3113560G
118,76979442Y,187,8455054R
119,76979442Y,187,8455054R
120,35410046M,159,6336990F
121,35410046M,189,1173158C
122,35410046M,11,6304936S
123,35410046M,5,8995679B
124,35410046M,5,8995679B
125,35410046M,181,3915254X
126,98323587J,159,6336990F
127,98323587J,189,1173158C
128,98323587J,11,6304936S
129,14311972S,159,6336990F
130,14311972S,189,1173158C
131,14311972S,11,6304936S
132,12475351J,159,6336990F
133,12475351J,189,1173158C
134,12475351J,11,3113560G
135,12475351J,171,6108974J
136,12475351J,187,8455054R
137,12475351J,189,1173158C
138,65460937Q,159,6336990F
139,65460937Q,189,1173158C
140,65460937Q,11,7527435H
141,42108938D,11,2023440S
142,42108938D,345,6498402M
143,10300906B,159,6336990F
144,10300906B,189,1173158C
145,10300906B,11,3113560G
146,10300906B,189,1173158C
147,10300906B,188,8827294D
148,83391820F,159,6336990F
149,83391820F,189,1173158C
150,83391820F,11,6304936S
151,83391820F,171,6108974J
152,83391820F,111,1920759Y
153,65291888V,11,6304936S
154,95017914S,159,6336990F
155,95017914S,189,1173158C
156,95017914S,11,3113560G
157,95017914S,196,5004389A
158,95017914S,196,5004389A
159,58851507G,159,6336990F
160,58851507G,189,1173158C
161,58851507G,11,3113560G
162,58851507G,111,7527435H
163,31917370V,159,6336990F
164,31917370V,189,1173158C
165,31917370V,11,1920759Y
166,76178910N,159,6336990F
167,76178910N,189,1173158C
168,76178910N,11,6304936S
169,76178910N,188,8827294D
170,76178910N,189,1173158C
171,76178910N,171,6108974J
172,98053140T,159,6336990F
173,98053140T,189,1173158C
174,98053140T,11,6304936S
175,77958346F,159,6336990F
176,77958346F,189,1173158C
177,77958346F,11,1920759Y
178,77958346F,171,6108974J
179,77958346F,5,8995679B
180,77958346F,198,6272000S
181,92241190N,159,6336990F
182,92241190N,189,1173158C
183,92241190N,11,2023440S
184,92241190N,345,6498402M
185,92241190N,198,6272000S
186,29447211N,11,1920759Y
187,29447211N,180,7295647R
188,94093271H,159,6336990F
189,94093271H,189,1173158C
190,94093271H,345,6498402M
191,94093271H,189,1173158C
192,94093271H,5,8995679B
193,60108202W,11,7527435H
194,60108202W,198,6272000S
195,66099812C,159,6336990F
196,66099812C,189,1173158C
197,66099812C,11,3113560G
198,66099812C,187,8455054R
199,89277166K,11,1920759Y
200,89277166K,198,6272000S
201,89277166K,5,8995679B
202,62681331Y,159,6336990F
203,62681331Y,189,1173158C
204,62681331Y,11,2023440S
205,14857620B,159,6336990F
206,14857620B,189,1173158C
207,14857620B,180,7295647R
208,58695703W,159,6336990F
209,58695703W,189,1173158C
210,58695703W,11,3113560G
211,58695703W,345,6498402M
212,40150856D,159,6336990F
213,40150856D,189,1173158C
214,40150856D,11,2023440S
215,40150856D,190,5687119R
216,40150856D,345,6498402M
217,18525009G,159,6336990F
218,18525009G,189,1173158C
219,18525009G,11,3113560G
220,18525009G,198,6272000S
221,18525009G,345,6498402M
222,18525009G,196,5004389A
223,36284596A,159,6336990F
224,36284596A,189,1173158C
225,36284596A,11,3113560G
226,36284596A,187,8455054R
227,36284596A,187,8455054R
228,36284596A,198,6272000S
229,71199217A,159,6336990F
230,71199217A,189,1173158C
231,71199217A,5,8995679B
232,71199217A,187,8455054R
233,86676743R,159,6336990F
234,86676743R,189,1173158C
235,86676743R,11,7527435H
236,93392517M,11,2023440S
237,93392517M,189,1173158C
238,93392517M,159,6336990F
239,96636563Q,159,6336990F
240,96636563Q,189,1173158C
241,96636563Q,11,1920759Y
242,96636563Q,196,5004389A
243,96636563Q,171,6108974J
244,99539572B,11,7527435H
245,99539572B,190,5687119R
246,66546341G,159,6336990F
247,66546341G,189,1173158C
248,66546341G,11,6304936S
249,66546341G,188,8827294D
250,30631932A,159,6336990F
251,30631932A,189,1173158C
252,30631932A,11,6304936S
